Vol,Year,Title,题目,网址
114-110,2019-2018,Buoyancy effect on shallow tunnels,浅埋隧道的浮力效应,/science/article/pii/S1365160918308414/pdfft?md5=8b5b40fa020f25b58ab4a66386a290fa&pid=1-s2.0-S1365160918308414-main.pdf
114-110,2019-2018,"Petrophysical properties of deformation bands in high porous sandstones across fault zones in the Rio do Peixe Basin, Brazil",巴西里约热内卢盆地断层带高多孔砂岩变形带的岩石物理特征,/science/article/pii/S1365160917305828/pdfft?md5=19384c39357046aa557989596093f576&pid=1-s2.0-S1365160917305828-main.pdf
114-110,2019-2018,Analytical and numerical modeling of rock blasting operations using a two-dimensional elasto-dynamic Green's function,利用二维弹性动力格林函数进行岩石爆破作业的分析和数值模拟,/science/article/pii/S1365160918305550/pdfft?md5=975737c4ff051941a2b2c2b10e2b122e&pid=1-s2.0-S1365160918305550-main.pdf
114-110,2019-2018,Closed-form solution of stress state and stability analysis of wellbore in anisotropic permeable rocks,各向异性渗透岩中应力状态的闭合解及井筒稳定性分析,/science/article/pii/S1365160918300625/pdfft?md5=ccad6ed22617565a8c9bf01e12c214e6&pid=1-s2.0-S1365160918300625-main.pdf
114-110,2019-2018,Correlation of joint roughness coefficient and permeability of a fracture,关节粗糙系数与骨折通透性的相关性,/science/article/pii/S1365160918305306/pdfft?md5=c98058cdc2677d1471a52f883e950652&pid=1-s2.0-S1365160918305306-main.pdf
114-110,2019-2018,Analytical and experimental investigation of pore pressure induced strain softening around boreholes,孔隙压力引起的井眼应变软化的分析和实验研究,/science/article/pii/S1365160917313473/pdfft?md5=f90cd11031db54417b2d64b9c011b418&pid=1-s2.0-S1365160917313473-main.pdf
114-110,2019-2018,A unified analytical method calculating brittle rocks deformation induced by crack growth,一种统计分析方法计算裂纹扩展引起的脆性岩石变形,/science/article/pii/S1365160917301788/pdfft?md5=b89e2d8c94cb5e8712d0b3d1f4a10f12&pid=1-s2.0-S1365160917301788-main.pdf
114-110,2019-2018,On the direct measurement of shear moduli in transversely isotropic rocks using the uniaxial compression test,利用单轴压缩试验直接测量横观各向同性岩石中的剪切模量,/science/article/pii/S1365160918303605/pdfft?md5=893049002cec0db303272c9b45a9fe18&pid=1-s2.0-S1365160918303605-main.pdf
114-110,2019-2018,The influence of fracture geometry variation on non-Darcy flow in fractures under confining stresses,约束条件下裂缝几何变化对裂缝非达西渗流的影响,/science/article/pii/S136516091830426X/pdfft?md5=63edcac01a34fb11e4370e820fc14201&pid=1-s2.0-S136516091830426X-main.pdf
114-110,2019-2018,Experimental and analytical study on the mechanical behaviour of cable bolts subjected to axial loading and constant normal stiffness,轴向受力和恒定刚度下电缆锚杆受力性能的试验和分析研究,/science/article/pii/S1365160918306439/pdfft?md5=c32bb3eb527e1807696f92997ad631a6&pid=1-s2.0-S1365160918306439-main.pdf
114-110,2019-2018,Study on the raising technique using one blast based on the combination of long-hole presplitting and vertical crater retreat multiple-deck shots,基于长孔预裂与垂直火山口退避多层炮击相结合的一次爆破提升技术研究,/science/article/pii/S1365160918304118/pdfft?md5=5e5c91cd7194204384dfe2ba1117c7b6&pid=1-s2.0-S1365160918304118-main.pdf
114-110,2019-2018,Estimation of pore microstructure by using the static and dynamic moduli,用静态和动态模量估算孔隙微观结构,/science/article/pii/S1365160918304404/pdfft?md5=411cdfb2dba8ebefd4d2b09ee5d3ccda&pid=1-s2.0-S1365160918304404-main.pdf
114-110,2019-2018,Applying evolutionary optimization algorithms for improving fuzzy C-mean clustering performance to predict the deformation modulus of rock mass,应用进化优化算法提高模糊C-均值聚类性能预测岩体变形模量,/science/article/pii/S1365160917310651/pdfft?md5=c82db906ce0f981e2b4e58462c075ffc&pid=1-s2.0-S1365160917310651-main.pdf
114-110,2019-2018,Description of damage process in fractured rocks,裂隙岩石损伤过程描述,/science/article/pii/S1365160918303460/pdfft?md5=1f96f2d81dc148c5edbb752831f556a5&pid=1-s2.0-S1365160918303460-main.pdf
114-110,2019-2018,A numerical study of stress variability in heterogeneous fractured rocks,非均质裂隙岩体应力变异性的数值研究,/science/article/pii/S1365160918306634/pdfft?md5=2359b8e3882b24d88797ef7e3efa159e&pid=1-s2.0-S1365160918306634-main.pdf
114-110,2019-2018,Gateway stability analysis by global-local modeling approach,通过全局局部建模方法进行网关稳定性分析,/science/article/pii/S1365160918307548/pdfft?md5=fcee74b25e64d3adb4164ad447963cd5&pid=1-s2.0-S1365160918307548-main.pdf
114-110,2019-2018,Performance of a coal pillar at deeper cover: Field and simulation studies,更深层覆盖煤柱的性能：现场和模拟研究,/science/article/pii/S1365160918303630/pdfft?md5=eb887bb15838c6da8ca42a1aaa6cd39c&pid=1-s2.0-S1365160918303630-main.pdf
114-110,2019-2018,Use of radar technology to establish threshold values of blast vibrations triggering sliding of geological faults at a lead-zinc open pit mine,利用雷达技术建立爆炸振动阈值，引发铅锌露天矿地质断层滑动,/science/article/pii/S1365160917305737/pdfft?md5=65f121f0cd7fd6c4f466594899fdaeab&pid=1-s2.0-S1365160917305737-main.pdf
114-110,2019-2018,A new diversion drawing technique for controlling ore loss and dilution during longitudinal sublevel caving,一种控制纵向分段崩落过程中矿石损失和稀释的新型引水牵引技术,/science/article/pii/S1365160918305434/pdfft?md5=4487a2e37ee7ded63ea909e9729e72fb&pid=1-s2.0-S1365160918305434-main.pdf
114-110,2019-2018,Universal laws for air velocities in airblast events during block caving,块体崩落期间空气爆炸事件中空气速度的通用定律,/science/article/pii/S1365160918307421/pdfft?md5=3c16c02ee15f340b18a924280daa08b5&pid=1-s2.0-S1365160918307421-main.pdf
114-110,2019-2018,A fractional derivative perspective on transient pulse test for determining the permeability of rocks,确定岩石渗透率的瞬态脉冲试验的分数导数透视,/science/article/pii/S1365160918306774/pdfft?md5=250a79ae85e9dfd41b8118dce3b95988&pid=1-s2.0-S1365160918306774-main.pdf
114-110,2019-2018,A new spectral analysis method for determining the joint roughness coefficient of rock joints,一种确定岩石节理节理粗糙系数的新光谱分析方法,/science/article/pii/S1365160918303411/pdfft?md5=647b6d90bf6f37bb229506079910a3f2&pid=1-s2.0-S1365160918303411-main.pdf
114-110,2019-2018,Modeling dynamic fracture in granite under in situ conditions at high temperatures and pressures,在高温高压下原位条件下花岗岩动态断裂模拟,/science/article/pii/S1365160918302764/pdfft?md5=6a820dd0841a0a816f154a283d62fbd8&pid=1-s2.0-S1365160918302764-main.pdf
114-110,2019-2018,Numerical analysis of the dynamic evolution of mining-induced stresses and fractures in multilayered rock strata using continuum-based discrete element methods,基于连续体的离散元法数值分析多层岩层中采动应力和裂缝的动态演化,/science/article/pii/S136516091830008X/pdfft?md5=e6b20f27e633272bbfac8e0e2f4bd93b&pid=1-s2.0-S136516091830008X-main.pdf
114-110,2019-2018,Assessing the uniaxial compressive strength of extremely hard cryptocrystalline flint,评估极硬隐晶质燧石的单轴抗压强度,/science/article/pii/S1365160918309249/pdfft?md5=2336bec1b646ab3c2a1c095af06b1855&pid=1-s2.0-S1365160918309249-main.pdf
114-110,2019-2018,A geostatistical approach to estimating the parameters of a 3D Cox-Boolean discrete fracture network from 1D and 2D sampling observations,从1D和2D采样观测估计3D Cox-布尔离散裂缝网络参数的地统计方法,/science/article/pii/S1365160917308341/pdfft?md5=c60d89384eb484eaeb1507909354e2ed&pid=1-s2.0-S1365160917308341-main.pdf
114-110,2019-2018,Analytical model of fully grouted bolts in pull-out tests and in situ rock masses,拉拔试验和原位岩体中完全灌浆锚杆的解析模型,/science/article/pii/S1365160918301874/pdfft?md5=713217fa0590eaec8edfc854472ff0bb&pid=1-s2.0-S1365160918301874-main.pdf
114-110,2019-2018,Smeared modeling of hydraulic fracture using partially coupled reservoir and geomechanics simulators,利用部分耦合储层和地质力学模拟器对水力压裂进行了模拟,/science/article/pii/S1365160918300480/pdfft?md5=bc999231009b8f0e92f6674b6cd5dfb0&pid=1-s2.0-S1365160918300480-main.pdf
114-110,2019-2018,Editorial Board,编委会,/science/article/pii/S1365160918312425/pdfft?md5=21e0b82ed3f4650d583626d738419047&pid=1-s2.0-S1365160918312425-main.pdf
114-110,2019-2018,Surface collapse control under thick unconsolidated layers by backfilling strip mining in coal mines,通过煤矿回填条带开采在厚松散层下进行表面坍塌控制,/science/article/pii/S1365160918305483/pdfft?md5=3db9d5a99220d1eb6704df77ddb3939f&pid=1-s2.0-S1365160918305483-main.pdf
114-110,2019-2018,Dynamic triaxial compression tests on sandstone at high strain rates and low confining pressures with split Hopkinson pressure bar,采用分离式Hopkinson压杆对高应变率和低围压下砂岩进行动三轴压缩试验,/science/article/pii/S1365160918304258/pdfft?md5=f284035fdcdde7291832ed0c21d95f65&pid=1-s2.0-S1365160918304258-main.pdf
114-110,2019-2018,Dynamic compressive strength of rock salts,岩盐的动态抗压强度,/science/article/pii/S1365160917309723/pdfft?md5=1bbe13d64d28bad8ceef44601ebe873f&pid=1-s2.0-S1365160917309723-main.pdf
114-110,2019-2018,"Rock mechanical modelling of the Bentonite Rock Interaction Experiment, Äspö Hard Rock Laboratory, Sweden",岩石力学模型的膨润土岩石相互作用实验，瑞典Äspö硬石实验室,/science/article/pii/S1365160918303988/pdfft?md5=3f6300519ba626cbb51487361545f53b&pid=1-s2.0-S1365160918303988-main.pdf
114-110,2019-2018,A finite strain numerical procedure for a circular tunnel in strain-softening rock mass with large deformation,大变形应变软化岩体圆形隧道的有限应变数值方法,/science/article/pii/S1365160918303058/pdfft?md5=f06e35c31ffb8c904d392710ce2d18b7&pid=1-s2.0-S1365160918303058-main.pdf
114-110,2019-2018,Gas permeability calculation of tight rocks based on laboratory measurements with non-ideal gas slippage and poroelastic effects considered,基于实验室测量的非理想气体滑动和多孔弹性效应的致密岩石透气性计算,/science/article/pii/S1365160918302703/pdfft?md5=711a6f1dc80311864fbc07ba4241e35e&pid=1-s2.0-S1365160918302703-main.pdf
114-110,2019-2018,Application of T-matrix model for static moduli approximation from dynamic moduli determined by sonic well logging,T型矩阵模型在声波测井动态模量静态模量近似中的应用,/science/article/pii/S1365160917306871/pdfft?md5=cdb75e0e7fabaab370d2cb6656e825da&pid=1-s2.0-S1365160917306871-main.pdf
114-110,2019-2018,Investigation of the excavation damaged zone around deep TBM tunnel using a Voronoi-element based explicit numerical manifold method,基于Voronoi元的显式数值流形方法研究深埋TBM隧道开挖破坏带,/science/article/pii/S1365160917313291/pdfft?md5=f3b5dbad5fbd1b5102febe0b915f8220&pid=1-s2.0-S1365160917313291-main.pdf
114-110,2019-2018,Seismic stability analysis and charts of a 3D rock slope in Hoek–Brown media,Hoek-Brown介质中三维岩质边坡的地震稳定性分析与图表,/science/article/pii/S136516091830234X/pdfft?md5=437647418eadd12aabc7b6adb678c7b1&pid=1-s2.0-S136516091830234X-main.pdf
114-110,2019-2018,Towards automatic discontinuity trace extraction from rock mass point cloud without triangulation,在没有三角测量的情况下从岩体点云中提取自动不连续轨迹,/science/article/pii/S1365160918304982/pdfft?md5=6ab52d7ab947ea6876cdd07ed9a117bb&pid=1-s2.0-S1365160918304982-main.pdf
114-110,2019-2018,Real-time SEM observation of mesoscale failures under thermal-mechanical coupling sequences in granite,花岗岩热 - 机械耦合序列下中尺度破坏的实时扫描电镜观测,/science/article/pii/S136516091830159X/pdfft?md5=f05dc4dbb37ea11900bf9292dce2cd1b&pid=1-s2.0-S136516091830159X-main.pdf
114-110,2019-2018,Characterisation of mechanical behaviour of 3D printed rock-like material with digital image correlation,用数字图像相关表征三维印刷岩石材料的力学行为,/science/article/pii/S1365160918303253/pdfft?md5=3b16d9c1597226f2db1d196e18ad4168&pid=1-s2.0-S1365160918303253-main.pdf
114-110,2019-2018,An XFEM element to model intersections between hydraulic and natural fractures in porous rocks,XFEM元素，用于模拟多孔岩石中水力和天然裂缝之间的交叉点,/science/article/pii/S1365160918300820/pdfft?md5=6625ece3b6c056d33133937e1f83e60b&pid=1-s2.0-S1365160918300820-main.pdf
114-110,2019-2018,Effect of rock anisotropy on wellbore stresses and hydraulic fracture propagation,岩石各向异性对井筒应力和水力裂缝扩展的影响,/science/article/pii/S1365160918303666/pdfft?md5=26a53cfa48c8223827c1ea2d19c9928d&pid=1-s2.0-S1365160918303666-main.pdf
114-110,2019-2018,Effects of water deck on rock blasting performance,水面板对岩石爆破性能的影响,/science/article/pii/S1365160917312716/pdfft?md5=2279d3216ef18ed617dd1bdf4c6b1b77&pid=1-s2.0-S1365160917312716-main.pdf
114-110,2019-2018,Estimation of Jones-Wilkins-Lee parameters of emulsion explosives using cylinder tests and their numerical validation,用圆柱试验估算乳液炸药的Jones-Wilkins-Lee参数及其数值验证,/science/article/pii/S1365160918302776/pdfft?md5=ed696c0748e5314fe6844b0d61d0cf49&pid=1-s2.0-S1365160918302776-main.pdf
114-110,2019-2018,Probabilistic performance-based approaches to the static and seismic assessment of rock cavities,基于概率性能的岩石静力和地震评估方法,/science/article/pii/S1365160918304921/pdfft?md5=98753dd0e98468b3db3a4d187cd48ca8&pid=1-s2.0-S1365160918304921-main.pdf
114-110,2019-2018,Influence of unloading and loading stress cycles on the creep behavior of Darley Dale Sandstone,卸载和加载应力循环对达利戴尔砂岩蠕变特性的影响,/science/article/pii/S1365160918301023/pdfft?md5=27af84e5fce8a680285359390f025dfc&pid=1-s2.0-S1365160918301023-main.pdf
114-110,2019-2018,"Long-term creep tests and viscoelastic constitutive modeling of lower Paleozoic shales from the Baltic Basin, N Poland",波兰北部波罗的海盆地下古生界页岩的长期蠕变试验和粘弹性本构模拟,/science/article/pii/S1365160918300686/pdfft?md5=b5178e5c5ff9f93777580edaf09aa970&pid=1-s2.0-S1365160918300686-main.pdf
114-110,2019-2018,A feasibility study on confinement effect on blasting performance in narrow vein mining through numerical modelling,作者：郝建军，王建华，王建国，岩土力学ROCK,/science/article/pii/S1365160918303939/pdfft?md5=37d8dde7aa67d6ee3034b38632752f68&pid=1-s2.0-S1365160918303939-main.pdf
114-110,2019-2018,Analysis of mechanical and permeability properties of mudstone interlayers around a strategic petroleum reserve cavern in bedded rock salt,岩层盐岩战略储油洞周围泥岩夹层力学和渗透特性分析,/science/article/pii/S136516091830039X/pdfft?md5=218d072078a3bf795df151cca7a3e554&pid=1-s2.0-S136516091830039X-main.pdf
114-110,2019-2018,Stability analysis of slopes with a potential of slide-head-toppling failure,具有滑头倾覆失效潜力的斜坡稳定性分析,/science/article/pii/S1365160918304635/pdfft?md5=1cf66ce6dd6f76aaecc99438c875a8cc&pid=1-s2.0-S1365160918304635-main.pdf
114-110,2019-2018,Rockburst support in shallow-dipping tabular stopes at great depth,岩爆支撑在浅层板状采场中的深度,/science/article/pii/S1365160918307238/pdfft?md5=12a06f7d002d18df0ec35f75e5b3acf4&pid=1-s2.0-S1365160918307238-main.pdf
114-110,2019-2018,"Corrigendum to “A multiple-graph technique for preliminary assessment of ground conditions for tunneling” published in [Int. J. Rock Mech. Min. Sci. 100 (2017), 278–286]",[Int。中的“用于隧道掘进地面条件初步评估的多图技术”的勘误表）。 ,/science/article/pii/S1365160918308141/pdfft?md5=3699b5f593e2bcbe36bf2d43ad680b33&pid=1-s2.0-S1365160918308141-main.pdf
114-110,2019-2018,Geomechanical model test for failure and stability analysis of high arch dam based on acoustic emission technique,基于声发射技术的高拱坝破坏及稳定性分析的地质力学模型试验,/science/article/pii/S136516091630199X/pdfft?md5=53a23a33148c27d1be71e7e5cba5e198&pid=1-s2.0-S136516091630199X-main.pdf
114-110,2019-2018,Effects of curing temperature on shear behaviour of cemented paste backfill-rock interface,固化温度对胶结糊回填 - 岩石界面剪切特性的影响,/science/article/pii/S136516091830563X/pdfft?md5=4ba29450dcbb7c4f538eb346fe5a0d32&pid=1-s2.0-S136516091830563X-main.pdf
114-110,2019-2018,Estimation of RQD by digital image analysis using a shadow-based method,使用基于阴影的方法通过数字图像分析估计RQD,/science/article/pii/S1365160918304933/pdfft?md5=0f9b1e966f858f77e32c818adad9d349&pid=1-s2.0-S1365160918304933-main.pdf
114-110,2019-2018,Simulation of hydraulic fracturing processes in rocks by coupling the lattice Boltzmann model and the Park-Paulino-Roesler potential-based cohesive zone model,基于格子Boltzmann模型与Park-Paulino-Roesler势基粘性区模型耦合模拟岩石水力压裂过程,/science/article/pii/S1365160918300133/pdfft?md5=b15b85b8540d4ae68d74a16b13b3ef7c&pid=1-s2.0-S1365160918300133-main.pdf
114-110,2019-2018,Study of the effect of loading rates on crack propagation velocity and rock fracture toughness using cracked tunnel specimens,裂隙隧道试件加载速率\u200b\u200b对裂缝扩展速度和岩石断裂韧度影响的研究,/science/article/pii/S1365160918301783/pdfft?md5=ebd8f3e1629772864456acbb5537e03a&pid=1-s2.0-S1365160918301783-main.pdf
114-110,2019-2018,Determination of deformation modulus in a weak rock mass by using menard pressuremeter,用Manard压力计测定软弱岩体中的变形模量,/science/article/pii/S136516091830087X/pdfft?md5=18d2adee6a10956eab2163650b0bfa66&pid=1-s2.0-S136516091830087X-main.pdf
114-110,2019-2018,Editorial Board,编委会,/science/article/pii/S1365160918311328/pdfft?md5=6f9808d3203b8e6a699f1fe5d4ae1e9e&pid=1-s2.0-S1365160918311328-main.pdf
114-110,2019-2018,Wellbore breakout prediction in transversely isotropic rocks using true-triaxial failure criteria,利用真三轴破坏准则预测横观各向同性岩石中的井眼爆破预测,/science/article/pii/S1365160918304817/pdfft?md5=067945c05ccd19e5622ee459d57d3ae7&pid=1-s2.0-S1365160918304817-main.pdf
114-110,2019-2018,Novel liquid-gas corrected permeability correlation for dolomite formation,白云岩形成的新型液 - 气校正渗透率相关性,/science/article/pii/S1365160918303393/pdfft?md5=b236e00f50893616c14c6b2c82ecb8eb&pid=1-s2.0-S1365160918303393-main.pdf
114-110,2019-2018,A new method to model the non-linear crack closure behavior of rocks under uniaxial compression,单轴压缩下岩石非线性闭合闭合特性的一种新方法,/science/article/pii/S1365160918303496/pdfft?md5=90108820efc0ce67ebb050210c009e9c&pid=1-s2.0-S1365160918303496-main.pdf
114-110,2019-2018,A shaking table model test on a rock slope anchored with adaptive anchor cables,自适应锚索锚固岩质边坡振动台模型试验研究,/science/article/pii/S1365160917313424/pdfft?md5=d624ffff585fde534392fc442cab0a60&pid=1-s2.0-S1365160917313424-main.pdf
114-110,2019-2018,Wave transmission across linearly jointed complex rock masses,跨越线性连接的复杂岩体的波传播,/science/article/pii/S1365160918303101/pdfft?md5=71a13f7c74895f0b108cdef0860a3443&pid=1-s2.0-S1365160918303101-main.pdf
114-110,2019-2018,An ultrasonic-based method for longwall top-coal cavability assessment,基于超声波的长壁顶煤可空性评估方法,/science/article/pii/S136516091830488X/pdfft?md5=35e0bfb21a78351387b43bb7c678d8fb&pid=1-s2.0-S136516091830488X-main.pdf
114-110,2019-2018,Visualizing the blast-induced stress wave and blasting gas action effects using digital image correlation,使用数字图像相关可视化爆炸引起的应力波和爆破气体作用效应,/science/article/pii/S136516091830337X/pdfft?md5=a983244db026674befe271ff72a28b89&pid=1-s2.0-S136516091830337X-main.pdf
114-110,2019-2018,Influence of wavelength-to-tunnel-diameter ratio on dynamic response of underground tunnels subjected to blasting loads,波长 - 隧道 - 直径比对爆破荷载作用下地下隧道动力响应的影响,/science/article/pii/S136516091830474X/pdfft?md5=9497c5700ac54c39acd187365d59206b&pid=1-s2.0-S136516091830474X-main.pdf
114-110,2019-2018,Quantitative determination of mining-induced discontinuous stress drop in coal,采煤引起的煤层不连续应力下降的定量测定,/science/article/pii/S1365160917306123/pdfft?md5=35db63623655c3d3fc3461b6a0fb1479&pid=1-s2.0-S1365160917306123-main.pdf
114-110,2019-2018,Non-linear ultrasonic monitoring of damage progression in disparate rocks,非线性超声波监测不同岩石中的损伤进展,/science/article/pii/S1365160918304672/pdfft?md5=454e8b383e0caeb08d3ff8a97024fa45&pid=1-s2.0-S1365160918304672-main.pdf
114-110,2019-2018,Editorial Board,编委会,/science/article/pii/S1365160918309778/pdfft?md5=f65d07e6d98f603886e2910d58b0d832&pid=1-s2.0-S1365160918309778-main.pdf
114-110,2019-2018,Field experiments on fracture evolution and correlations between connectivity and abutment pressure under top coal caving conditions,顶煤开采条件下裂缝演化及连通性与桥台压力关系的现场试验,/science/article/pii/S1365160917304549/pdfft?md5=2674efac0f9e3b777d30a068798dfcb5&pid=1-s2.0-S1365160917304549-main.pdf
114-110,2019-2018,Thermodynamic framework for non-local transport-damage modeling of fluid driven fracture in porous media,多孔介质中流体驱动裂缝非局部输运损伤模拟的热力学框架,/science/article/pii/S136516091731198X/pdfft?md5=48559f61b39152e634eead421077e6f8&pid=1-s2.0-S136516091731198X-main.pdf
114-110,2019-2018,Large structure response to high frequency excitation from rock blasting,岩石爆破对高频激发的大结构响应,/science/article/pii/S1365160917308298/pdfft?md5=07fb107c6333900e291f946767e5249d&pid=1-s2.0-S1365160917308298-main.pdf
114-110,2019-2018,Permeability enhancements of borehole outburst cavitation in outburst-prone coal seams,突出易发煤层中钻孔突出空化的渗透性增强,/science/article/pii/S1365160917303921/pdfft?md5=15a69f8e4298183e4948e98bf959825b&pid=1-s2.0-S1365160917303921-main.pdf
114-110,2019-2018,Acoustic monitoring of a thermo-mechanical test simulating withdrawal in a gas storage salt cavern,声学监测热机械试验模拟在储气盐洞中的撤离,/science/article/pii/S1365160917307116/pdfft?md5=edb15b37b25fbe6ccc9ed551b2ea0d5a&pid=1-s2.0-S1365160917307116-main.pdf
114-110,2019-2018,A new approach to quantify the anisotropy of hydromechanical strains in clay-rock at the gallery scale,一种量化粘土岩中流体力学应变各向异性的新方法,/science/article/pii/S1365160917312236/pdfft?md5=6215d972b9fcaa9bc5c637544d61d30e&pid=1-s2.0-S1365160917312236-main.pdf
114-110,2019-2018,Mechanical behavior of salt rock under uniaxial compression and creep tests,单轴压缩和蠕变试验下盐岩的力学行为,/science/article/pii/S1365160917309668/pdfft?md5=baf06656139bfd193f48a5e45a391fa1&pid=1-s2.0-S1365160917309668-main.pdf
114-110,2019-2018,Semi-automatic extraction of rock discontinuities from point clouds using the ISODATA clustering algorithm and deviation from mean elevation,使用ISODATA聚类算法从平面云中半自动提取岩石不连续性并偏离平均海拔,/science/article/pii/S1365160917307281/pdfft?md5=badf98c7e8b6198f970938bb0fa03418&pid=1-s2.0-S1365160917307281-main.pdf
114-110,2019-2018,Development and evaluation of artificial expandable pillars for hard rock mining,硬岩开采人工可膨胀支柱的开发与评价,/science/article/pii/S1365160918302594/pdfft?md5=b5c64641922527da53972ec85ea310c6&pid=1-s2.0-S1365160918302594-main.pdf
114-110,2019-2018,Three-dimensional bonded-particle discrete element modeling of mechanical behavior of transversely isotropic rock,横观各向同性岩石力学特性的三维粘粒子离散元模型,/science/article/pii/S1365160917305567/pdfft?md5=072764a0df8a5d9c5a6f11a08a272192&pid=1-s2.0-S1365160917305567-main.pdf
114-110,2019-2018,Rockburst mechanism and prediction based on microseismic monitoring,基于微震监测的岩爆机理与预测,/science/article/pii/S136516091630507X/pdfft?md5=db615c9736b0b7498b0596ab344ee84c&pid=1-s2.0-S136516091630507X-main.pdf
114-110,2019-2018,Far field poroelastic response of geothermal reservoirs to hydraulic stimulation treatment: Theory and application at the Groß Schönebeck geothermal research facility,地热储层对水力增产处理的远场多孔弹性响应：GroßSchönebeck地热研究设施的理论与应用,/science/article/pii/S1365160918303587/pdfft?md5=81cd23c561fbb16022394d3e6ccb3579&pid=1-s2.0-S1365160918303587-main.pdf
114-110,2019-2018,Computational framework for simulating rock burst in shear and compression,模拟剪切和压缩岩爆的计算框架,/science/article/pii/S1365160917310018/pdfft?md5=dbc074e38afe30cbe3ed180d2393be04&pid=1-s2.0-S1365160917310018-main.pdf
114-110,2019-2018,Charge design scheme optimization for ring blasting based on the developed Scaled Heelan model,基于Scaled Heelan模型的环形爆破装药设计方案优化,/science/article/pii/S1365160917308924/pdfft?md5=f4fc7fc2dbf28e584b8a0faa5726529d&pid=1-s2.0-S1365160917308924-main.pdf
114-110,2019-2018,Editorial Board,编委会,/science/article/pii/S1365160918308554/pdfft?md5=3ab16c83144c9a8efb8e3299236d548c&pid=1-s2.0-S1365160918308554-main.pdf
114-110,2019-2018,A new and unified approach to improved scalability and volumetric fracture intensity quantification for GSI and rockmass strength and deformability estimation,一种新的统一方法，用于改进GSI的可扩展性和体积破裂强度量化以及岩体强度和变形性评估,/science/article/pii/S1365160917312753/pdfft?md5=f5d2fa3d3700905e48e07e5192b28b48&pid=1-s2.0-S1365160917312753-main.pdf
114-110,2019-2018,Comprehensive stability analysis of an inclined wellbore embedded in Colorado shale formation for thermal recovery,作者：郝建军，王建华，王建华，岩土力学ROCK,/science/article/pii/S1365160917312261/pdfft?md5=fb9e72ec6ff81efb797a4399660f2cb7&pid=1-s2.0-S1365160917312261-main.pdf
114-110,2019-2018,Micro-damage evolution and macro-mechanical property degradation of limestone due to chemical effects,化学作用引起的石灰岩微损伤演化和宏观力学性能退化,/science/article/pii/S1365160917310146/pdfft?md5=906f410c55ff93146e523c2bc20c1ec0&pid=1-s2.0-S1365160917310146-main.pdf
